COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE;SITUACAO
2701605;2731;Canapi;CANAPI;AL;Alagoas;17719;0;NE;0,506;0,719;0,357;0,504;Aprovado
2906105;3421;Canápolis;CANAPOLIS;BA;Bahia;9703;0;NE;0,565;0,732;0,463;0,531;Não Cadastrado
3111804;4235;Canápolis;CANAPOLIS;MG;Minas Gerais;12201;0;SE;0,722;0,872;0,598;0,721;Aprovado
2906204;3423;Canarana;CANARANA;BA;Bahia;26325;0;NE;0,587;0,734;0,496;0,555;Não Cadastrado
5102702;9193;Canarana;CANARANA;MT;Mato Grosso;21842;0;CO;0,693;0,825;0,549;0,735;Aprovado
3509957;794;Canas;CANAS;SP;São Paulo;5204;0;SE;0,704;0,797;0,677;0,646;Em Análise
2202251;2247;Canavieira;CANAVIEIRA;PI;Piauí;3944;0;NE;0,583;0,778;0,485;0,525;Não Cadastrado
2906303;3425;Canavieiras;CANAVIEIRAS;BA;Bahia;30906;0;NE;0,59;0,796;0,434;0,596;Aprovado
2906402;3427;Candeal;CANDEAL;BA;Bahia;8181;0;NE;0,587;0,787;0,465;0,554;Aprovado
2906501;3429;Candeias;CANDEIAS;BA;Bahia;87458;0;NE;0,691;0,823;0,616;0,652;Aprovado
3112000;4239;Candeias;CANDEIAS;MG;Minas Gerais;14888;0;SE;0,678;0,83;0,537;0,699;Aprovado
1100809;681;Candeias do Jamari;CANDEIAS DO JAMARI;RO;Rondônia;27388;0;N;0,649;0,819;0,512;0,652;Aprovado
4304200;8581;Candelária;CANDELARIA;RS;Rio Grande do Sul;31421;0;S;0,674;0,842;0,521;0,699;Aprovado
2906600;3431;Candiba;CANDIBA;BA;Bahia;14368;0;NE;0,591;0,743;0,481;0,578;Aprovado
4104402;7485;Cândido de Abreu;CANDIDO DE ABREU;PR;Paraná;14809;0;S;0,629;0,783;0,494;0,643;Não Cadastrado
4304309;8583;Cândido Godói;CANDIDO GODOI;RS;Rio Grande do Sul;6151;0;S;0,728;0,853;0,627;0,72;Não Cadastrado
2102606;749;Cândido Mendes;CANDIDO MENDES;MA;Maranhão;20278;0;NE;0,561;0,745;0,456;0,52;Aprovado
3510005;6301;Cândido Mota;CANDIDO MOTA;SP;São Paulo;31346;0;SE;0,747;0,845;0,704;0,701;Aprovado
3510104;6303;Cândido Rodrigues;CANDIDO RODRIGUES;SP;São Paulo;2799;0;SE;0,789;0,863;0,762;0,747;Aprovado
2906709;3433;Cândido Sales;CANDIDO SALES;BA;Bahia;25053;0;NE;0,601;0,798;0,482;0,565;Aprovado
4304358;6083;Candiota;CANDIOTA;RS;Rio Grande do Sul;9647;0;S;0,698;0,86;0,562;0,704;Aprovado
4104428;5499;Candói;CANDOI;PR;Paraná;16053;0;S;0,635;0,778;0,503;0,655;Aprovado
4304408;8585;Canela;CANELA;RS;Rio Grande do Sul;45488;0;S;0,748;0,849;0,667;0,738;Aprovado
4203709;8071;Canelinha;CANELINHA;SC;Santa Catarina;12398;0;S;0,697;0,865;0,542;0,723;Aprovado
2402204;1643;Canguaretama;CANGUARETAMA;RN;Rio Grande do Norte;34548;0;NE;0,579;0,718;0,486;0,557;Aprovado
4304507;8587;Canguçu;CANGUCU;RS;Rio Grande do Sul;56211;0;S;0,65;0,819;0,491;0,683;Aprovado
2801108;3121;Canhoba;CANHOBA;SE;Sergipe;4006;0;NE;0,569;0,722;0,462;0,553;Aprovado
2603702;2373;Canhotinho;CANHOTINHO;PE;Pernambuco;24773;0;NE;0,541;0,725;0,403;0,543;Aprovado
2302800;1355;Canindé;CANINDE;CE;Ceará;77244;0;NE;0,612;0,765;0,526;0,571;Aprovado
2801207;3123;Canindé de São Francisco;CANINDE DE SAO FRANCISCO;SE;Sergipe;30402;0;NE;0,567;0,741;0,435;0,566;Aprovado
3510153;2947;Canitar;CANITAR;SP;São Paulo;5292;0;SE;0,68;0,791;0,605;0,658;Aprovado
4304606;8589;Canoas;CANOAS;RS;Rio Grande do Sul;348208;0;S;0,75;0,864;0,636;0,768;Aprovado
4203808;8073;Canoinhas;CANOINHAS;SC;Santa Catarina;54480;0;S;0,757;0,874;0,692;0,717;Aprovado
2906808;3435;Cansanção;CANSANCAO;BA;Bahia;34882;0;NE;0,557;0,745;0,438;0,53;Aprovado
1400175;28;Cantá;CANTA;RR;Roraima;18799;0;N;0,619;0,803;0,509;0,581;Aprovado
3112059;582;Cantagalo;CANTAGALO;MG;Minas Gerais;4551;0;SE;0,631;0,816;0,515;0,598;Aprovado
3301108;5821;Cantagalo;CANTAGALO;RJ;Rio de Janeiro;20168;0;SE;0,709;0,822;0,614;0,705;Não Cadastrado
4104451;8451;Cantagalo;CANTAGALO;PR;Paraná;13329;0;S;0,635;0,768;0,522;0,638;Aprovado
2102705;751;Cantanhede;CANTANHEDE;MA;Maranhão;22117;0;NE;0,565;0,774;0,468;0,497;Aprovado
2202307;1045;Canto do Buriti;CANTO DO BURITI;PI;Piauí;21258;0;NE;0,576;0,724;0,462;0,571;Aprovado
2906824;3085;Canudos;CANUDOS;BA;Bahia;16753;0;NE;0,562;0,707;0,453;0,554;Aprovado
4304614;1130;Canudos do Vale;CANUDOS DO VALE;RS;Rio Grande do Sul;1705;0;S;0,713;0,84;0,574;0,751;Não Cadastrado
1300904;219;Canutama;CANUTAMA;AM;Amazonas;15807;0;N;0,53;0,752;0,379;0,522;Não Cadastrado
1502202;443;Capanema;CAPANEMA;PA;Pará;69431;0;N;0,655;0,794;0,58;0,61;Aprovado
4104501;7487;Capanema;CAPANEMA;PR;Paraná;19148;0;S;0,706;0,801;0,611;0,719;Aprovado
4203253;906;Capão Alto;CAPAO ALTO;SC;Santa Catarina;2496;0;S;0,654;0,796;0,516;0,68;Não Cadastrado
3510203;6305;Capão Bonito;CAPAO BONITO;SP;São Paulo;47118;0;SE;0,721;0,826;0,671;0,675;Aprovado
4304622;1132;Capão Bonito do Sul;CAPAO BONITO DO SUL;RS;Rio Grande do Sul;1641;0;S;0,637;0,779;0,507;0,654;Aprovado
4304630;8915;Capão da Canoa;CAPAO DA CANOA;RS;Rio Grande do Sul;54051;0;S;0,743;0,852;0,637;0,756;Aprovado
4304655;1134;Capão do Cipó;CAPAO DO CIPO;RS;Rio Grande do Sul;3699;0;S;0,672;0,86;0,552;0,639;Não Cadastrado
4304663;8973;Capão do Leão;CAPAO DO LEAO;RS;Rio Grande do Sul;25409;0;S;0,637;0,814;0,48;0,662;Aprovado
3112109;4241;Caparaó;CAPARAO;MG;Minas Gerais;5451;0;SE;0,624;0,836;0,473;0,614;Aprovado
2701704;2733;Capela;CAPELA;AL;Alagoas;16979;0;NE;0,573;0,743;0,456;0,554;Aprovado
2801306;3125;Capela;CAPELA;SE;Sergipe;34514;0;NE;0,615;0,766;0,51;0,596;Aprovado
4304689;8443;Capela de Santana;CAPELA DE SANTANA;RS;Rio Grande do Sul;12064;0;S;0,661;0,816;0,525;0,675;Aprovado
3510302;6307;Capela do Alto;CAPELA DO ALTO;SP;São Paulo;20985;0;SE;0,699;0,823;0,617;0,673;Aprovado
2906857;3081;Capela do Alto Alegre;CAPELA DO ALTO ALEGRE;BA;Bahia;11616;0;NE;0,599;0,77;0,48;0,582;Aprovado
3112208;4243;Capela Nova;CAPELA NOVA;MG;Minas Gerais;4634;0;SE;0,648;0,797;0,568;0,602;Não Cadastrado
3112307;4245;Capelinha;CAPELINHA;MG;Minas Gerais;38057;0;SE;0,653;0,824;0,527;0,641;Aprovado
3112406;4247;Capetinga;CAPETINGA;MG;Minas Gerais;6890;0;SE;0,675;0,848;0,533;0,68;Aprovado
2504033;464;Capim;CAPIM;PB;Paraíba;6620;0;NE;0,533;0,728;0,4;0,52;Aprovado
3112505;4249;Capim Branco;CAPIM BRANCO;MG;Minas Gerais;9826;0;SE;0,695;0,837;0,604;0,664;Aprovado
2906873;3083;Capim Grosso;CAPIM GROSSO;BA;Bahia;30862;0;NE;0,621;0,752;0,514;0,62;Aprovado
3112604;4251;Capinópolis;CAPINOPOLIS;MG;Minas Gerais;16234;0;SE;0,723;0,841;0,601;0,747;Aprovado
